挨打
按住
巴掌
扒衣
疤痕
霸凌
绑
棒子
包扎
保护法
报仇
报复
暴打
暴行
暴力
暴揍
爆打
爆发
被逼
被打
逼我
鼻青脸肿
必杀
变态
遍体鳞伤
不知轻重
踩踏
菜刀
残害
残疾
惨
惨叫
抄家伙
抄起
扯
持刀
持械
冲突
仇
仇恨
出人命
出手
出血
踹
创伤
锤
戳
刺
刺伤
摧残
打
打残
打断
打骨折
打坏
打架
打了
打骂
打人
打死
打一顿
大打出手
歹意
刀
刀疤
到处都是
蹬
动机
动脚
动手
动武
斗殴
毒打
断了
躲
剁
剁下来
恶毒
耳光
发飙
发火
翻脸
飞溅
粉碎性
愤恨
愤懑
缝合
该死
干架
割
割开
割下来
攻击
骨裂
骨折
怪罪
跪
棍子
行凶
恨
恨意
红肿
吼
互殴
划
划开
昏过去
浑身
活活打死
活生生
嫉恨
记恨
家暴
家庭暴力
剪刀
剪子
溅
教训
结疤
拘禁
开刀
砍
砍掉
砍人
砍下来
拷打
磕头
刻骨
恐怖
恐吓
口子
溃烂
捆
捆住
困住
烂
勒
凌辱
流血
抡
轮番
骂
满地
满身
冒血
没轻没重
蒙住
猛
拿刀
内脏
扭打
怒火
虐打
虐待
虐待死
殴
殴打
拍
喷
皮开肉绽
破
破皮
欺负
欺凌
掐
强暴
强奸
强迫
抢
敲打
切
切开
侵犯
侵害
青一块
轻伤
求饶
取乐
拳打脚踢
拳脚
痊愈
群殴
人形
人渣
扔
蹂躏
肉块
辱骂
扫帚
杀
杀机
杀手
杀心
杀意
扇
扇打
伤
伤害
伤痕
伤口
伤人
上吊
渗血
绳子
尸
施暴
施虐
受害
摔
甩
水果刀
私仇
厮打
撕
死
死手
碎
疼
疼痛
踢
踢踹
提着
体罚
挑衅
跳楼
听话
捅
捅伤
痛打
痛揍
头破血流
围殴
污血
侮辱
捂
捂死
下跪
下手
下死手
下体
鲜血
邪念
胁迫
凶残
宣泄
血
血迹
血渍
一巴掌
一刀
一顿
一拳
椅子
有仇
淤青
瘀血
愈合
怨愤
怨恨
晕
晕过去
砸
砸碎
责骂
掌掴
折磨死
知觉
治愈
致死
肿
肿了
重伤
咒骂
抓破
拽
追打
追砍
桌角
紫一块
自尽
自杀
自缢
揍
